country,quarter,house_price_index,rent_index,leverage_ratio,ecb_shock,price_rent_ratio,log_house_price,log_rent,log_price_rent_ratio
FI,2016Q2,99.0892,86.28333333333335,108.97,0.0229170699999999,1.148416457407765,4.596020454569653,4.4576364546798,0.13838399988985275
FI,2016Q3,99.3389,86.73,110.31,0.0334953,1.1453810676813097,4.598537236535554,4.462799844696365,0.13573739183918943
FI,2016Q4,98.1322,87.05,110.76,-0.02712766,1.12730844342332,4.586315549206879,4.466482666214198,0.11983288299268084
FI,2017Q1,98.8126,87.46999999999998,111.12,-0.02346464,1.1296741740025154,4.593225126986889,4.471295877431763,0.12192924955512564
FI,2017Q2,99.8801,88.06,111.79,0.0024797,1.1342277992277991,4.603970466612513,4.478018400327608,0.12595206628490516
FI,2017Q3,99.2484,88.44333333333333,112.32,-0.0087218,1.1221693739871106,4.597625798530555,4.48236204561518,0.11526375291537527
FI,2017Q4,98.5103,88.75999999999999,113.1,-0.01932455,1.1098501577287068,4.590161111239055,4.485936098064393,0.10422501317466153
FI,2018Q1,99.0566,89.16000000000001,113.28,-0.0005995399999999,1.1109982054733063,4.595691403938309,4.490432508517668,0.10525889542064057
FI,2018Q2,99.6786,89.69333333333333,114.14,-0.03918716,1.1113267429760667,4.601951009996692,4.496396444489295,0.10555456550739638
FI,2018Q3,98.9346,90.11,115.08,-0.0020336499999999,1.0979314171568084,4.594459025777656,4.501031146246946,0.09342787953071044
FI,2018Q4,98.2704,90.43333333333334,114.39,0.01586212,1.0866612605971249,4.587722862784287,4.504612930996776,0.08310993178751039
FI,2019Q1,98.3059,90.87333333333332,114.83,0.0262765599999999,1.081790404225662,4.588084045697852,4.509466595474587,0.07861745022326463
FI,2019Q2,99.1298,91.51,114.61,0.02784615,1.0832674024696753,4.5964301024900625,4.516448255927287,0.07998184656277538
FI,2019Q3,98.4861,91.96333333333332,113.54,0.07436163,1.0709279060495125,4.589915421468868,4.521389946881954,0.06852547458691462
FI,2019Q4,97.6029,92.27666666666669,114.64,-0.00264775,1.0577202615323482,4.580907206092375,4.524791310705444,0.05611589538693067
FI,2020Q1,98.643,92.51666666666668,114.9,0.20784853,1.0662186993334533,4.591507272018908,4.527388808468061,0.0641184635508473
FI,2020Q2,100.0054,92.90666666666668,116.73,0.0452638599999999,1.0764071469575198,4.605224184530144,4.531595404996028,0.07362877953411533
FI,2020Q3,99.8686,93.08333333333331,118.05,-0.02189026,1.072894538943599,4.603855321933096,4.5334951492812,0.07036017265189601
FI,2020Q4,100.904,93.21333333333332,118.76,-0.0147992399999999,1.0825060792447434,4.614169569784892,4.5348907729756744,0.07927879680921747
FI,2021Q1,101.662,93.32,118.73,0.01509516,1.0893913416202317,4.621653585246445,4.536034447153229,0.08561913809321614
FI,2021Q2,103.3056,93.69666666666669,118.9,-0.01374249,1.102553630509801,4.637691585692045,4.5400626140829505,0.09762897160909513
FI,2021Q3,102.4113,93.88333333333333,118.89,-0.0067385499999999,1.0908357890999467,4.628997058079622,4.542052876672614,0.08694418140700833
